habitat,parent_event_id,total_organic_matter_percent_formatted,temperat_grad_c_formatted
coral reef,GB,8.45 ± 0.49,27.85 ± 0.27
coral reef,GG,8.84 ± 0.72,28.06 ± 0.05
seagrass meadow,GB,9.50 ± 0.77,27.00 ± 0.00
seagrass meadow,GG,9.45 ± 3.02,28.75 ± 0.63
